 src,alt,sizes,text,link
/dashboard/noc_school_dashboard.png,NOC School Dashboard,100,NOC School Dashboard,http://nocview.nycboe.net/
/dashboard/SPOC_Network_Operations_center.png,SPOC Network Operations Center,100vw,SPOC Network Operations Center,http://spocnoc.nycboe.net/
/dashboard/Gama_Monitoring_Dashboard.png,GAMA Monitoring Dashboard,100vw,GAMA Monitoring Dashboard,http://nocapps2.nycboe.net/gama/
/dashboard/DFS_monitoring_system.jpg,DFS Monitoring System,100vw,DFS Monitoring System,http://nocapps3.nycboe.net/DFSDashboard/
/dashboard/NYC_SCHOOLS_ACCOUNT.png,NYC Schools Account,100vw,NYC Schools Account,http://nocapps2.nycboe.net/familyportal/
/dashboard/SECURITY_ACCESS_MANAGEMENT.png,Security Access Management,100vw,Security Access Management,http://nocapps2.nycboe.net/SecurityAccessManagement/
/dashboard/dwdm_monitoring_system.jpg,DWDM Monitoring System,100vw,DWDM Monitoring System,http://nocapps3.nycboe.net/DWDMDashboard/
/dashboard/noc-bandwidth-icon.png,NOC Bandwidth Dashboard,100vw,NOC Bandwidth Dashboard,http://nocbandwidth.nycboe.net/
/dashboard/VPN.png,VPN,100vw,VPN,http://nocapps4.nycboe.net/vpn/
/dashboard/sesis_big.png,SESIS Monitoring Dashboard,100vw,SESIS Monitoring Dashboard,http://nocapps2.nycboe.net/sesis
/dashboard/myschools.jpg,NYC MySchools,100vw,NYC MySchools,https://www.myschools.nyc/en/
/dashboard/cybershift.png,Cybershift Monitoring Dashboard,100vw,Cybershift Monitoring Dashboard,http://nocapps2.nycboe.net/cybershift/
/dashboard/FINANCE.png,Finance Monitoring Dashboard,100vw,Finance Monitoring Dashboard,http://nocapps2.nycboe.net/finance
/dashboard/web servcies.jpg,Web Services Monitoring System,100vw,Web Services Monitoring System,http://nocapps3.nycboe.net/WebServiceDashboard/
/dashboard/sql.png,SQL Servers Dashboard,100vw,SQL Servers Dashboard,http://nocapps2.nycboe.net/sql/
/dashboard/AD-2.png,AD Monitoring,100vw,AD Monitoring,http://nocapps4.nycboe.net/ad/
/dashboard/video icon.jpg,IPDVS Dashboard,100vw,IPDVS Dashboard,http://nocconfig.nycboe.net/ipdvs
/dashboard/VLan.jpg,VLAN Change,100vw,VLAN Change,http://nocconfig.nycboe.net/
/dashboard/web proxy.png,Content Delivery Infrastructure Dashboard,100vw,Content Delivery Infrastructure Dashboard,http://nocapps3.nycboe.net/ProxyDashboard/
/dashboard/Storage icon.png,Storage Dashboard,100vw,Storage Dashboard,http://nocapps3.nycboe.net/StorageDashboard/
/dashboard/email_logo.png,Exchange Infrastructure Dashboard,100vw,Exchange Infrastructure Dashboard,http://nocapps3.nycboe.net/ExchangeDashboard
/dashboard/Cognos logo.png,Cognos Monitoring Dashboard,100vw,Cognos Monitoring Dashboard,http://nocapps2.nycboe.net/cognos
/dashboard/LUWlogo.png,LUW Monitoring Dashboard,100vw,LUW Monitoring Dashboard,http://nocapps2.nycboe.net/LUW/
/dashboard/NTP.png,NTP Monitoring Dashboard,100vw,NTP Monitoring Dashboard,http://nocapps4.nycboe.net/ntp
/dashboard/Endpoint logo.png,Endpoint Security Monitoring Dashboard,100vw,Endpoint Security Monitoring Dashboard,http://nocapps2.nycboe.net/endpointsecurity